# time (s)	h_+ (strain)	h_x (strain)
-0.183471680	1.825583856341718302e-22	1.608321434396273739e-22
-0.183410645	1.809364207208682295e-22	1.634086246541038106e-22
-0.183349610	1.792792739560686519e-22	1.659710656553593548e-22
-0.183288575	1.775869874997277308e-22	1.685190107957173694e-22
-0.183227539	1.758596087865370317e-22	1.710519999616548628e-22
-0.183166504	1.740971906967550376e-22	1.735695688754031172e-22
-0.183105469	1.722997919282005179e-22	1.760712489391399569e-22
-0.183044434	1.704674773396458380e-22	1.785565675419829808e-22
-0.182983399	1.686003182279582774e-22	1.810250478756780672e-22
-0.182922364	1.666983926376932692e-22	1.834762093138149795e-22
-0.182861329	1.647617857093988298e-22	1.859095673538568751e-22
-0.182800293	1.627905899078382577e-22	1.883246339846077388e-22
-0.182739258	1.607849053453537711e-22	1.907209175914566293e-22
-0.182678223	1.587448401311339032e-22	1.930979234395935024e-22
-0.182617188	1.566705105088211970e-22	1.954551536780536641e-22
-0.182556153	1.545620412229203768e-22	1.977921076390072835e-22
-0.182495118	1.524195657208283997e-22	2.001082821487970790e-22
-0.182434082	1.502432263958868146e-22	2.024031716467681963e-22
-0.182373047	1.480331748074192580e-22	2.046762686083950165e-22
-0.182312012	1.457895718776577911e-22	2.069270637702297739e-22
-0.182250977	1.435125881305582129e-22	2.091550463825845650e-22
-0.182189942	1.412024037425483143e-22	2.113597046559619089e-22
-0.182128907	1.388592088771582055e-22	2.135405259155143296e-22
-0.182067871	1.364832036365831786e-22	2.156969971426158559e-22
-0.182006836	1.340745982972249389e-22	2.178286050472769875e-22
-0.181945801	1.316336133739695179e-22	2.199348367206497601e-22
-0.181884766	1.291604797688209157e-22	2.220151797461539030e-22
-0.181823731	1.266554386148044797e-22	2.240691226886630453e-22
-0.181762696	1.241187416258602269e-22	2.260961553672163960e-22
-0.181701661	1.215506508857609223e-22	2.280957693755976077e-22
-0.181640625	1.189514389043973811e-22	2.300674582285128596e-22
-0.181579590	1.163213887013638286e-22	2.320107178496215052e-22
-0.181518555	1.136607935883759648e-22	2.339250470433889090e-22
-0.181457520	1.109699572983564186e-22	2.358099475249383603e-22
-0.181396485	1.082491937957547227e-22	2.376649246584526142e-22
-0.181335450	1.054988271449340758e-22	2.394894875471148197e-22
-0.181274414	1.027191915754603679e-22	2.412831494593168165e-22
-0.181213379	9.991063112895885085e-23	2.430454281192819638e-22
-0.181152344	9.707349972868835735e-23	2.447758461246067520e-22
-0.181091309	9.420816077881546517e-23	2.464739311929724284e-22
-0.181030274	9.131498725482487078e-23	2.481392164620122903e-22
-0.180969239	8.839436124084481292e-23	2.497712407652974451e-22
-0.180908204	8.544667394365821293e-23	2.513695490100116730e-22
-0.180847168	8.247232531940554170e-23	2.529336922774849699e-22
-0.180786133	7.947172397727402845e-23	2.544632282917723028e-22
-0.180725098	7.644528676657978529e-23	2.559577214213869470e-22
-0.180664063	7.339343866347648285e-23	2.574167430702642645e-22
-0.180603028	7.031661247525212914e-23	2.588398718010212207e-22
-0.180541993	6.721524852727592796e-23	2.602266935764679991e-22
-0.180480957	6.408979445979762338e-23	2.615768018586008010e-22
-0.180419922	6.094070485641755796e-23	2.628897978545430988e-22
-0.180358887	5.776844103377512274e-23	2.641652905232863911e-22
-0.180297852	5.457347074401665500e-23	2.654028969086834900e-22
-0.180236817	5.135626781124005007e-23	2.666022419620703734e-22
-0.180175782	4.811731195536846791e-23	2.677629588794965181e-22
-0.180114746	4.485708837499390714e-23	2.688846890566581391e-22
-0.180053711	4.157608763906771981e-23	2.699670820368980809e-22
-0.179992676	3.827480515190134700e-23	2.710097958156953424e-22
-0.179931641	3.495374108785321949e-23	2.720124965650645011e-22
-0.179870606	3.161340000359091184e-23	2.729748588735265844e-22
-0.179809571	2.825429061718697763e-23	2.738965655159604415e-22
-0.179748536	2.487692552274428006e-23	2.747773076461957376e-22
-0.179687500	2.148182089726945436e-23	2.756167845268049828e-22
-0.179626465	1.806949632989106998e-23	2.764147036858742293e-22
-0.179565430	1.464047451342194999e-23	2.771707807113137538e-22
-0.179504395	1.119528108508476469e-23	2.778847391482059911e-22
-0.179443360	7.734444360300365065e-24	2.785563105823908940e-22
-0.179382325	4.258495118331779934e-24	2.791852342999615187e-22
-0.179321289	7.679664702617182898e-25	2.797712573799012556e-22
-0.179260254	-2.736606369615315108e-24	2.803141343847794799e-22
-0.179199219	-6.254686245378542066e-24	2.808136274601295367e-22
-0.179138184	-9.785734170029289762e-24	2.812695059583146232e-22
-0.179077149	-1.332920948707651309e-23	2.816815465032390347e-22
-0.179016114	-1.688457003433713640e-23	2.820495326692956424e-22
-0.178955079	-2.045127218515095436e-23	2.823732549705806866e-22
-0.178894043	-2.402877093966971128e-23	2.826525106835156281e-22
-0.178833008	-2.761652009732412762e-23	2.828871036321059595e-22
-0.178771973	-3.121397220087563516e-23	2.830768440777780127e-22
-0.178710938	-3.482057864243882038e-23	2.832215486267417283e-22
-0.178649903	-3.843578968235553795e-23	2.833210399865531109e-22
-0.178588868	-4.205905455367661022e-23	2.833751469235511769e-22
-0.178527832	-4.568982130336890326e-23	2.833837039782055091e-22
-0.178466797	-4.932753689458220696e-23	2.833465515479312442e-22
-0.178405762	-5.297164727376789355e-23	2.832635355652661790e-22
-0.178344727	-5.662159705020417489e-23	2.831345074836188888e-22
-0.178283692	-6.027682983621162711e-23	2.829593241724981387e-22
-0.178222657	-6.393678787188574097e-23	2.827378476492308421e-22
-0.178161621	-6.760091211311192032e-23	2.824699453539848567e-22
-0.178100586	-7.126864217648388568e-23	2.821554896424790373e-22
-0.178039551	-7.493941617791074490e-23	2.817943580049614705e-22
-0.177978516	-7.861267070006877711e-23	2.813864329458388531e-22
-0.177917481	-8.228784069090492462e-23	2.809316018213205978e-22
-0.177856446	-8.596435932419946502e-23	2.804297569869450669e-22
-0.177795411	-8.964165797356595682e-23	2.798807956695052311e-22
-0.177734375	-9.331916605568054209e-23	2.792846199745597961e-22
-0.177673340	-9.699631087620755082e-23	2.786411369438259151e-22
-0.177612305	-1.006725175970586919e-22	2.779502584529123089e-22
-0.177551270	-1.043472091200668846e-22	2.772119014763272258e-22
-0.177490235	-1.080198059814452973e-22	2.764259878823669031e-22
-0.177429200	-1.116897260630904491e-22	2.755924446765531114e-22
-0.177368164	-1.153563848335160459e-22	2.747112039750553219e-22
-0.177307129	-1.190191949736447920e-22	2.737822032086466874e-22
-0.177246094	-1.226775663321268154e-22	2.728053850811039554e-22
-0.177185059	-1.263309058631321309e-22	2.717806978590599247e-22
-0.177124024	-1.299786176823952010e-22	2.707080953113366523e-22
-0.177062989	-1.336201026970512011e-22	2.695875370498350533e-22
-0.177001954	-1.372547587485400210e-22	2.684189885318460174e-22
-0.176940918	-1.408819805723543291e-22	2.672024212495619145e-22
-0.176879883	-1.445011596676541154e-22	2.659378130449661417e-22
-0.176818848	-1.481116842333258171e-22	2.646251480196996009e-22
-0.176757813	-1.517129393012566710e-22	2.632644170664247711e-22
-0.176696778	-1.553043065782158648e-22	2.618556177784995938e-22
-0.176635743	-1.588851644968916807e-22	2.603987548307338231e-22
-0.176574707	-1.624548883200843054e-22	2.588938400537299213e-22
-0.176513672	-1.660128499762314131e-22	2.573408927955727027e-22
-0.176452637	-1.695584184509497229e-22	2.557399400836074489e-22
